sequence_id,doi,title,relevance_level,oa_pdf,download_status,local_pdf_path,pdf_sha256,priority
459,10.1109/ton.2026.3654114,Incentivizing Multi-Tenant Split Federated Learning for Foundation Models at the,R4,https://arxiv.org/pdf/2503.04971,downloaded,pdfs/chunk_001/0443_li_incentivizing-multi-tenant-spl.pdf,9119aeecdbb3e60ed0a31ca2776d218ba433687297381dabd4905c10b263fd26,4
460,10.1109/ton.2026.3654170,Hierarchical Micro-Segmentations for Zero-Trust Services via Large Language Mode,R4,https://pureadmin.qub.ac.uk/ws/files/669767759/ToN_Zero_Trust_in_NGN_2nd_round_no_highlight_v1.pdf,downloaded,pdfs/chunk_001/0425_liu_hierarchical-micro-segmentatio.pdf,df7f51fd7e7e91274ffa143af115798ad6f94cc429f8adbc8aa1825b54e6d694,4
494,10.1109/ton.2026.3663723,DRL-Based Accurate Prediction of Network Latency for Personal Devices Under Cost,R4,https://eprints.gla.ac.uk/379971/3/379971.pdf,downloaded,pdfs/chunk_001/0455_huang_drl-based-accurate-prediction.pdf,fc672b96ac1b50f91d23245494ccf22889e08e1ba4bbfa912b7c1ef7b2ec3337,4
519,10.1109/ton.2026.3668972,RouteNet-Gauss: Hardware-Enhanced Network Modeling With Machine Learning,R4,,downloaded,pdfs/chunk_001/0478_gemespalau_routenet-gauss-hardware-enhanc.pdf,5b843d65cbc7db2044549bb2339fa241a55bb5037c4763cefabb15f0eeba88fe,4
522,10.1109/ton.2026.3667834,Distributed Consensus Network: A Modularized Communication Framework and Reliabi,R4,https://eprints.gla.ac.uk/382125/3/382125.pdf,downloaded,pdfs/chunk_001/0494_li_distributed-consensus-network.pdf,6e799f694729f56ebf80807c5c03b4f22cf599762a9fc26f29977b076d6850c8,4
573,10.1109/ton.2026.3683538,Communication-Efficient Adaptive Model-Driven Quantum Federated Learning,R4,https://arxiv.org/pdf/2506.04548,downloaded,pdfs/chunk_001/0533_gurung_communication-efficient-adapti.pdf,f12616e41a24a37b9189eb328d1ae1a6e19390d246428e97930426b8f0836c12,4
587,10.1109/ton.2026.3688018,Minimizing the Age of Incorrect Information for Unknown Markovian Source,R4,https://arxiv.org/pdf/2210.09681,downloaded,pdfs/chunk_001/0557_kriouile_minimizing-the-age-of-incorrec.pdf,fceafdcc8a9a1ff63ba83e5e66bf2c6872049b4b626f8afe28e3972a2b785e0b,4
591,10.1109/ton.2026.3688173,Digital Epidemiology With Awareness-Based Event-Triggered Migration in Networked,R4,https://arxiv.org/pdf/2604.26284,downloaded,pdfs/chunk_001/0543_li_digital-epidemiology-with-awar.pdf,ff31fb0e5dfd106528c4df96f5099ba0cb2a8c4ab732d23cfe4cb7499daa4bdc,4
594,10.1109/ton.2026.3688811,TrimCaching: Parameter-Sharing Edge Caching for AI Model Downloading,R4,https://arxiv.org/pdf/2404.14204,downloaded,pdfs/chunk_001/0564_qu_trimcaching-parameter-sharing.pdf,3a3a81f15341518a548f06aa1a297259b5eb6578dc6b3b96135d1f5424c92d2e,4
636,10.1109/ton.2026.3700898,Optimizing Server Placement for Vertical Federated Learning in Dynamic Edge/Fog ,R4,https://arxiv.org/pdf/2605.09813,downloaded,pdfs/chunk_001/0605_anon_optimizing-server-placement-fo.pdf,99649d0558e7235b41b744f33666d912cfba02ff77d7d68e33cfd05484a1c149,4
642,10.1109/ton.2026.3702752,SIG-SDP: Sparse Interference Graph-Aided Semidefinite Programming for Large-Scal,R4,https://arxiv.org/pdf/2501.11307,downloaded,pdfs/chunk_001/0594_gu_sig-sdp-sparse-interference-gr.pdf,52cb34302fcdaf6629a62ab702b494834304d910f02c08c74429090efd7df6f8,4
655,10.1109/ton.2026.3706007,Remote Estimation of Gauss-Markov Processes Over Multiple Channels: A Whittle In,R4,https://arxiv.org/pdf/2305.04809,downloaded,pdfs/chunk_001/0603_ornee_remote-estimation-of-gauss-mar.pdf,b1bb06994179baf8e5b6225e1d9d752bb87733ed452eebb3fc94b1f92b0c6e58,4
687,10.1109/ton.2026.3716733,Beyond Model Scale Limits: End-Edge-Cloud Federated Learning with Self-Rectified,R4,https://arxiv.org/pdf/2501.00693,pending,,,4
